,기준일자,User_ID,기관번호,연체등록일자,연체금액,기관,연체분류,연체사항,세부사항
0,201801,X0010254691714933659,Y1605029911648266013,201801,5700,상호저축,신용도판단,대출연체,원금이자연체
1,201802,X0010254691714933659,Y1605029911648266013,201801,5700,상호저축,신용도판단,대출연체,원금이자연체
2,201612,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
3,201612,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
4,201701,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
5,201701,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
6,201702,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
7,201702,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
8,201703,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
9,201703,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
10,201704,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
11,201704,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
12,201705,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
13,201705,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
14,201706,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
15,201706,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
16,201706,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
17,201707,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
18,201707,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
19,201707,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
20,201708,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
21,201708,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
22,201708,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
23,201709,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
24,201709,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
25,201709,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
26,201710,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
27,201710,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
28,201710,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
29,201711,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
30,201711,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
31,201711,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
32,201712,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
33,201712,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
34,201712,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
35,201801,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
36,201801,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
37,201801,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
38,201802,X0214807498644962070,X3032578545057756902,201802,270000,은행,신용도판단,대출연체,원금이자연체
39,201802,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
40,201802,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
41,201802,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
42,201803,X0214807498644962070,X3032578545057756902,201802,270000,은행,신용도판단,대출연체,원금이자연체
43,201803,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
44,201803,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
45,201803,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
46,201804,X0214807498644962070,X3032578545057756902,201802,270000,은행,신용도판단,대출연체,원금이자연체
47,201804,X0214807498644962070,Y4755574378503849999,201611,900,신용카드사,신용도판단,대출연체,신용카드대금연체
48,201804,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
49,201804,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
50,201805,X0214807498644962070,X3032578545057756902,201802,270000,은행,신용도판단,대출연체,원금이자연체
51,201805,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
52,201805,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
53,201806,X0214807498644962070,X3032578545057756902,201802,270000,은행,신용도판단,대출연체,원금이자연체
54,201806,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
55,201806,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
56,201807,X0214807498644962070,X3032578545057756902,201802,270000,은행,신용도판단,대출연체,원금이자연체
57,201807,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
58,201807,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
59,201808,X0214807498644962070,X3032578545057756902,201802,270000,은행,신용도판단,대출연체,원금이자연체
60,201808,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
61,201808,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
62,201809,X0214807498644962070,X3032578545057756902,201802,270000,은행,신용도판단,대출연체,원금이자연체
63,201809,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
64,201809,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
65,201810,X0214807498644962070,X3032578545057756902,201802,270000,은행,신용도판단,대출연체,원금이자연체
66,201810,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
67,201810,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
68,201811,X0214807498644962070,X3032578545057756902,201802,270000,은행,신용도판단,대출연체,원금이자연체
69,201811,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
70,201811,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
71,201812,X0214807498644962070,X3032578545057756902,201802,270000,은행,신용도판단,대출연체,원금이자연체
72,201812,X0214807498644962070,Y4768932821498392758,201706,12000,기타,신용도판단,지금보증대지급,신용보증대지급
73,201812,X0214807498644962070,Y9036878020951295900,201404,10000,기타,신용도판단,대출연체,원금이자연체
74,201808,X0298465323177514236,Y8095266831724228828,201808,880,신용카드사,신용도판단,대출연체,신용카드대금연체
75,201809,X0298465323177514236,Y8095266831724228828,201808,880,신용카드사,신용도판단,대출연체,신용카드대금연체
76,201810,X0298465323177514236,Y8095266831724228828,201808,880,신용카드사,신용도판단,대출연체,신용카드대금연체
77,201811,X0298465323177514236,Y8095266831724228828,201808,880,신용카드사,신용도판단,대출연체,신용카드대금연체
78,201812,X0298465323177514236,Y8095266831724228828,201808,880,신용카드사,신용도판단,대출연체,신용카드대금연체
79,201612,X0301386901660578111,Y6347148541722377879,201102,8000,은행,신용도판단,대출연체,원금이자연체
80,201701,X0301386901660578111,Y6347148541722377879,201102,8000,은행,신용도판단,대출연체,원금이자연체
81,201702,X0301386901660578111,Y6347148541722377879,201102,8000,은행,신용도판단,대출연체,원금이자연체
82,201703,X0301386901660578111,Y6347148541722377879,201102,8000,은행,신용도판단,대출연체,원금이자연체
83,201704,X0301386901660578111,Y6347148541722377879,201102,8000,은행,신용도판단,대출연체,원금이자연체
84,201705,X0301386901660578111,Y6347148541722377879,201102,8000,은행,신용도판단,대출연체,원금이자연체
85,201706,X0301386901660578111,Y6347148541722377879,201102,8000,은행,신용도판단,대출연체,원금이자연체
86,201707,X0301386901660578111,Y6347148541722377879,201102,8000,은행,신용도판단,대출연체,원금이자연체
87,201708,X0301386901660578111,Y6347148541722377879,201102,8000,은행,신용도판단,대출연체,원금이자연체
88,201709,X0301386901660578111,Y6347148541722377879,201102,8000,은행,신용도판단,대출연체,원금이자연체
89,201710,X0301386901660578111,Y6347148541722377879,201102,8000,은행,신용도판단,대출연체,원금이자연체
90,201711,X0301386901660578111,Y6347148541722377879,201102,8000,은행,신용도판단,대출연체,원금이자연체
91,201612,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
92,201701,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
93,201702,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
94,201703,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
95,201704,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
96,201705,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
97,201706,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
98,201707,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
99,201708,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
100,201709,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
101,201710,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
102,201711,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
103,201712,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
104,201801,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
105,201802,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
106,201803,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
107,201804,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
108,201805,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
109,201806,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
110,201807,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
111,201808,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
112,201809,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
113,201810,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
114,201811,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
115,201812,X0342060941186493169,X0945035270612736741,200811,95000,은행,신용도판단,부도,부도
116,201612,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
117,201612,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
118,201701,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
119,201701,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
120,201702,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
121,201702,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
122,201703,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
123,201703,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
124,201704,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
125,201704,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
126,201705,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
127,201705,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
128,201706,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
129,201706,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
130,201707,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
131,201707,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
132,201708,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
133,201708,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
134,201709,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
135,201709,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
136,201710,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
137,201710,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
138,201711,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
139,201711,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
140,201712,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
141,201712,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
142,201801,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
143,201801,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
144,201802,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
145,201802,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
146,201803,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
147,201803,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
148,201804,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
149,201804,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
150,201805,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
151,201805,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
152,201806,X0392110483605601454,X4067398789839021726,201508,9500,은행,신용도판단,대출연체,신용카드대금연체
153,201806,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
154,201807,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
155,201808,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
156,201808,X0392110483605601454,Y2517019704745725582,201808,910,신용카드사,신용도판단,대출연체,신용카드대금연체
157,201809,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
158,201810,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
159,201811,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
160,201811,X0392110483605601454,Y2517019704745725582,201811,4500,신용카드사,신용도판단,대출연체,카드대출연체
161,201812,X0392110483605601454,X4893627949415427320,201608,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
162,201812,X0392110483605601454,Y2517019704745725582,201811,4500,신용카드사,신용도판단,대출연체,카드대출연체
163,201612,X0455965488226319910,X8850496104700440151,201609,80000,은행,신용도판단,대출연체,원금이자연체
164,201701,X0455965488226319910,X8850496104700440151,201609,80000,은행,신용도판단,대출연체,원금이자연체
165,201702,X0455965488226319910,X8850496104700440151,201609,80000,은행,신용도판단,대출연체,원금이자연체
166,201703,X0455965488226319910,X8850496104700440151,201609,80000,은행,신용도판단,대출연체,원금이자연체
167,201704,X0455965488226319910,X8850496104700440151,201609,80000,은행,신용도판단,대출연체,원금이자연체
168,201712,X0455965488226319910,Y1149843444719871169,201712,900,신용카드사,신용도판단,대출연체,신용카드대금연체
169,201801,X0455965488226319910,Y1149843444719871169,201712,900,신용카드사,신용도판단,대출연체,신용카드대금연체
