,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),측정시간
0,-3.2,,0.5,110.0,40.0,1.9,-14.9,1015.4,1026.4,,,,,0.0,,,1358,-2.2,0.0,0.3,1.0,1.5,2023-06-24 00:00:00
1,-3.3,,0.7,360.0,41.0,2.0,-14.7,1015.1,1026.1,,,,,,,,2000,-2.7,-0.1,0.3,0.9,1.5,2023-06-24 01:00:00
2,-3.7,,0.9,270.0,42.0,2.0,-14.7,1015.2,1026.3,,,,,,,,2000,-3.0,-0.2,0.3,0.9,1.6,2023-06-24 02:00:00
3,-4.0,,1.0,290.0,44.0,2.0,-14.4,1015.5,1026.6,,,,,0.0,,,2000,-3.5,-0.2,0.3,1.0,1.5,2023-06-24 03:00:00
4,-4.2,,1.1,290.0,53.0,2.4,-12.3,1015.5,1026.6,,,,,0.0,,,1994,-3.8,-0.3,0.3,0.9,1.6,2023-06-24 04:00:00
5,-4.4,,0.8,290.0,54.0,2.4,-12.3,1015.7,1026.8,,,,,0.0,,,1786,-4.2,-0.5,0.2,1.0,1.6,2023-06-24 05:00:00
6,-4.5,,1.1,320.0,51.0,2.2,-13.1,1015.8,1026.9,,,,,0.0,,,2000,-4.4,-0.7,0.3,1.0,1.6,2023-06-24 06:00:00
7,-4.7,,1.1,290.0,56.0,2.4,-12.1,1016.1,1027.2,,,,,0.0,,,2000,-4.7,-0.8,0.2,0.9,1.6,2023-06-24 07:00:00
8,-5.0,,1.0,290.0,55.0,2.3,-12.6,1016.5,1027.6,0.0,0.0,,,0.0,,,2000,-4.9,-1.0,0.2,1.0,1.6,2023-06-24 08:00:00
9,-4.3,,0.7,290.0,39.0,1.7,-16.2,1017.0,1028.1,0.6,0.15,,,0.0,,,1973,-3.6,-0.7,0.3,1.0,1.6,2023-06-24 09:00:00
10,-1.6,,0.8,270.0,32.0,1.7,-16.1,1017.7,1028.7,1.0,0.53,,,0.0,,,1766,-0.8,-0.1,0.3,1.0,1.6,2023-06-24 10:00:00
11,0.1,,2.2,320.0,27.0,1.7,-16.7,1018.1,1029.0,1.0,0.84,,,1.0,Ac,35.0,1874,0.0,0.0,0.3,1.0,1.6,2023-06-24 11:00:00
12,1.5,,2.8,290.0,20.0,1.4,-19.0,1017.6,1028.5,1.0,1.03,,,1.0,Ci,,1992,0.3,0.1,0.3,1.0,1.6,2023-06-24 12:00:00
13,2.4,,2.3,290.0,22.0,1.6,-17.2,1016.7,1027.5,1.0,1.1,,,0.0,,,1921,1.2,0.2,0.3,1.0,1.6,2023-06-24 13:00:00
14,3.7,,2.1,230.0,24.0,1.9,-15.0,1016.4,1027.2,1.0,1.01,,,6.0,ScAc,17.0,1906,1.4,0.4,0.3,1.0,1.6,2023-06-24 14:00:00
15,3.0,,2.9,320.0,27.0,2.0,-14.2,1016.1,1026.9,1.0,0.78,,,7.0,Sc,14.0,1715,1.4,0.3,0.3,1.0,1.6,2023-06-24 15:00:00
16,3.0,,2.5,230.0,28.0,2.1,-13.7,1016.5,1027.3,0.9,0.51,,,6.0,Sc,15.0,1864,0.0,0.3,0.3,1.0,1.6,2023-06-24 16:00:00
17,1.8,,3.3,270.0,33.0,2.3,-12.8,1016.6,1027.4,0.8,0.18,,,0.0,,,1913,0.0,0.1,0.3,1.0,1.6,2023-06-24 17:00:00
18,0.8,,1.9,270.0,34.0,2.2,-13.3,1017.1,1028.0,0.0,0.01,,,0.0,,,1887,-0.4,0.1,0.3,1.0,1.6,2023-06-24 18:00:00
19,-0.1,,1.3,290.0,39.0,2.4,-12.4,1017.3,1028.2,,,,,,,,1911,-0.7,0.0,0.3,1.0,1.6,2023-06-24 19:00:00
20,-0.3,,1.2,320.0,40.0,2.4,-12.2,1017.4,1028.3,,,,,,,,1936,-0.8,0.0,0.3,1.0,1.6,2023-06-24 20:00:00
21,-0.9,,1.2,320.0,44.0,2.5,-11.6,1017.5,1028.5,,,,,0.0,,,1871,-1.2,0.0,0.3,1.0,1.6,2023-06-24 21:00:00
22,-1.3,,0.8,320.0,48.0,2.7,-10.9,1017.6,1028.6,,,,,,,,1927,-1.8,0.0,0.3,1.0,1.6,2023-06-24 22:00:00
23,-1.6,,0.7,320.0,51.0,2.8,-10.4,1017.6,1028.6,,,,,,,,1882,-2.3,-0.1,0.3,1.0,1.6,2023-06-24 23:00:00
24,-1.8,,1.1,290.0,54.0,2.9,-9.8,1017.8,1028.8,,,,,0.0,,,1772,-2.6,-0.2,0.3,1.0,1.6,2023-06-25 00:00:00
25,-2.1,,0.8,290.0,56.0,2.9,-9.7,1017.7,1028.7,,,,,,,,1732,-3.0,-0.2,0.3,1.0,1.6,2023-06-25 01:00:00
26,-2.3,,0.9,20.0,62.0,3.2,-8.6,1017.7,1028.7,,,,,,,,1560,-3.3,-0.3,0.2,1.0,1.6,2023-06-25 02:00:00
27,-2.5,,0.4,0.0,62.0,3.2,-8.7,1017.9,1028.9,,,,,0.0,,,1626,-3.7,-0.5,0.3,1.0,1.6,2023-06-25 03:00:00
28,-2.7,,0.5,20.0,67.0,3.4,-7.9,1017.5,1028.5,,,,,0.0,,,1302,-3.9,-0.7,0.3,1.0,1.6,2023-06-25 04:00:00
29,-3.1,,0.6,20.0,67.0,3.3,-8.3,1017.4,1028.5,,,,,0.0,,,1384,-4.1,-0.8,0.2,1.0,1.5,2023-06-25 05:00:00
30,-3.2,,0.4,0.0,67.0,3.2,-8.4,1017.8,1028.9,,,,,0.0,,,1409,-4.3,-0.9,0.2,1.0,1.6,2023-06-25 06:00:00
