,산업에너지소비량,지연전류무효전력량,선행전류무효전력량,CO2배출량,지연전류량,선행전류량,부하량구분,측정일
0,3.17,2.95,0.0,0.0,73.21,100.0,Light_Load,2024-01-01 00:15:00
1,4.0,4.46,0.0,0.0,66.77,100.0,Light_Load,2024-01-01 00:30:00
2,3.24,3.28,0.0,0.0,70.28,100.0,Light_Load,2024-01-01 00:45:00
3,3.31,3.56,0.0,0.0,68.09,100.0,Light_Load,2024-01-01 01:00:00
4,3.82,4.5,0.0,0.0,64.72,100.0,Light_Load,2024-01-01 01:15:00
5,3.28,3.56,0.0,0.0,67.76,100.0,Light_Load,2024-01-01 01:30:00
6,3.6,4.14,0.0,0.0,65.62,100.0,Light_Load,2024-01-01 01:45:00
7,3.6,4.28,0.0,0.0,64.37,100.0,Light_Load,2024-01-01 02:00:00
8,3.28,3.64,0.0,0.0,66.94,100.0,Light_Load,2024-01-01 02:15:00
9,3.78,4.72,0.0,0.0,62.51,100.0,Light_Load,2024-01-01 02:30:00
10,3.46,4.03,0.0,0.0,65.14,100.0,Light_Load,2024-01-01 02:45:00
11,3.24,3.64,0.0,0.0,66.49,100.0,Light_Load,2024-01-01 03:00:00
12,3.96,4.97,0.0,0.0,62.32,100.0,Light_Load,2024-01-01 03:15:00
13,3.31,3.74,0.0,0.0,66.27,100.0,Light_Load,2024-01-01 03:30:00
14,3.31,3.85,0.0,0.0,65.19,100.0,Light_Load,2024-01-01 03:45:00
15,3.89,5.0,0.0,0.0,61.4,100.0,Light_Load,2024-01-01 04:00:00
16,3.28,3.82,0.0,0.0,65.14,100.0,Light_Load,2024-01-01 04:15:00
17,3.56,4.28,0.0,0.0,63.95,100.0,Light_Load,2024-01-01 04:30:00
18,3.74,4.54,0.0,0.0,63.58,100.0,Light_Load,2024-01-01 04:45:00
19,3.31,3.6,0.0,0.0,67.68,100.0,Light_Load,2024-01-01 05:00:00
20,3.56,4.07,0.0,0.0,65.84,100.0,Light_Load,2024-01-01 05:15:00
21,3.56,4.1,0.0,0.0,65.56,100.0,Light_Load,2024-01-01 05:30:00
22,3.28,3.49,0.0,0.0,68.48,100.0,Light_Load,2024-01-01 05:45:00
23,3.78,4.32,0.0,0.0,65.85,100.0,Light_Load,2024-01-01 06:00:00
24,3.35,3.64,0.0,0.0,67.72,100.0,Light_Load,2024-01-01 06:15:00
25,3.24,3.35,0.0,0.0,69.52,100.0,Light_Load,2024-01-01 06:30:00
26,3.89,4.46,0.0,0.0,65.73,100.0,Light_Load,2024-01-01 06:45:00
27,3.31,3.53,0.0,0.0,68.4,100.0,Light_Load,2024-01-01 07:00:00
28,3.28,3.49,0.0,0.0,68.48,100.0,Light_Load,2024-01-01 07:15:00
29,3.85,4.75,0.0,0.0,62.97,100.0,Light_Load,2024-01-01 07:30:00
30,3.2,3.6,0.0,0.0,66.44,100.0,Light_Load,2024-01-01 07:45:00
31,3.31,3.78,0.0,0.0,65.88,100.0,Light_Load,2024-01-01 08:00:00
32,3.78,4.75,0.0,0.0,62.27,100.0,Light_Load,2024-01-01 08:15:00
33,3.28,3.74,0.0,0.0,65.94,100.0,Light_Load,2024-01-01 08:30:00
34,3.49,4.46,0.18,0.0,61.63,99.87,Light_Load,2024-01-01 08:45:00
35,3.89,0.0,15.66,0.0,100.0,24.11,Light_Load,2024-01-01 09:00:00
36,3.6,0.0,16.96,0.0,100.0,20.76,Light_Load,2024-01-01 09:15:00
37,4.03,0.0,21.28,0.0,100.0,18.61,Light_Load,2024-01-01 09:30:00
38,3.92,0.0,19.22,0.0,100.0,19.98,Light_Load,2024-01-01 09:45:00
39,3.64,0.0,16.88,0.0,100.0,21.08,Light_Load,2024-01-01 10:00:00
40,4.07,0.0,22.32,0.0,100.0,17.94,Light_Load,2024-01-01 10:15:00
41,3.71,0.0,18.0,0.0,100.0,20.19,Light_Load,2024-01-01 10:30:00
42,3.6,0.0,16.92,0.0,100.0,20.81,Light_Load,2024-01-01 10:45:00
43,4.21,0.0,23.4,0.0,100.0,17.71,Light_Load,2024-01-01 11:00:00
44,3.49,0.0,5.65,0.0,100.0,52.55,Light_Load,2024-01-01 11:15:00
45,3.46,0.0,4.82,0.0,100.0,58.31,Light_Load,2024-01-01 11:30:00
46,4.0,0.0,6.7,0.0,100.0,51.26,Light_Load,2024-01-01 11:45:00
47,3.49,0.0,4.57,0.0,100.0,60.69,Light_Load,2024-01-01 12:00:00
48,3.6,0.0,12.89,0.0,100.0,26.9,Light_Load,2024-01-01 12:15:00
49,4.25,0.0,23.15,0.0,100.0,18.06,Light_Load,2024-01-01 12:30:00
50,3.67,0.0,16.67,0.0,100.0,21.5,Light_Load,2024-01-01 12:45:00
51,3.67,0.0,16.63,0.0,100.0,21.55,Light_Load,2024-01-01 13:00:00
52,4.25,0.0,23.33,0.0,100.0,17.92,Light_Load,2024-01-01 13:15:00
53,3.64,0.0,16.74,0.0,100.0,21.25,Light_Load,2024-01-01 13:30:00
54,3.67,0.0,16.99,0.0,100.0,21.11,Light_Load,2024-01-01 13:45:00
55,4.28,0.0,23.4,0.0,100.0,17.99,Light_Load,2024-01-01 14:00:00
