,LOT번호,작업명,설비번호,단위중량(kg),투입중량(kg),투입액량(L),염색길이(m),공정진행시간(%),목표온도,지시온도,진행온도,목표대비 진행온도,지시대비 진행온도,포속1,포속2,포속3,포속4,염색색차 DE
32469,F2208300115,원단검사,FCM06,460,112.4,2000,24.0,50.51,0,116.5,115.6,0.0,0.992274678111588,69,249,76,146,1.113164
17775,F2207250110,염색,FCM15,146,189.1,4000,1600.0,31.88,0,75.6,75.2,0.0,0.9947089947089948,123,42,117,50,0.4288969
10966,F2206090076,원단검사,FCM05,485,113.0,2000,267.0,97.76,0,30.0,33.1,0.0,1.1033333333333333,76,181,74,152,5.026582
9994,F2205300077,원단검사,FCM05,505,201.4,2000,1.0,88.46,0,70.6,71.4,0.0,1.011331444759207,112,212,111,139,1.309122
28902,F2208120070,원단검사,FCM08,460,51.5,1000,36.0,78.28,0,70.0,69.4,0.0,0.9914285714285715,70,397,360,178,0.8660321
25056,F2208080026,원단검사,FCM06,320,108.2,2000,343.0,83.39,0,81.2,81.2,0.0,1.0,50,284,160,164,2.006101
28632,F2208120070,원단검사,FCM08,460,51.5,1000,36.0,33.5,0,130.0,130.2,0.0,1.0015384615384617,68,166,567,70,0.8660321
7769,F2203280105,원단검사,FCM05,505,149.4,2000,6.0,9.83,70,51.2,50.9,0.7271428571428571,0.994140625,8,16,98,8,0.9071327
15830,F2207080047,원단검사,FCM06,450,164.2,2000,173.0,32.21,0,81.9,82.2,0.0,1.0036630036630036,56,159,83,91,1.362835
33978,F2209010106,원단검사,FCM11,604,234.2,4000,433.0,14.49,0,59.6,58.2,0.0,0.976510067114094,83,14,96,12,1.696731
3152,F2202210104,원단검사,FCM07,560,341.8,4000,545.0,27.23,0,80.3,78.2,0.0,0.9738480697384808,101,29,97,32,3.928609
24032,F2208040155,원단검사,FCM08,460,61.4,1000,1.0,4.71,70,54.8,55.3,0.7899999999999999,1.0091240875912408,5,35,3,28,0.6079773
14910,F2207040146,원단검사,FCM08,294,80.1,1000,254.0,72.86,0,120.5,120.0,0.0,0.995850622406639,5,322,69,324,0.319741
29683,F2208260026,원단검사,FCM11,604,254.6,4000,228.0,46.62,0,126.6,125.6,0.0,0.9921011058451816,63,52,66,53,0.732778
21157,F2207280325,원단검사,FCM05,324,102.4,2000,16.0,27.93,0,124.7,124.3,0.0,0.9967923015236568,91,80,92,68,0.4797601
26358,F2208100002,원단검사,FCM12,320,20.2,600,47.0,52.44,0,120.0,120.0,0.0,1.0,62,41,0,0,1.343926
16790,F2207110011,원단검사,FCM08,625,83.3,1000,12.0,72.32,0,107.2,107.2,0.0,1.0,77,153,76,51,0.3981313
4001,F2202210108,원단검사,FCM05,560,199.5,2000,111.0,78.76,0,119.6,118.6,0.0,0.991638795986622,9,185,126,87,3.457263
19898,F2207270052,원단검사,FCM05,450,124.8,2000,227.0,54.7,0,130.0,129.9,0.0,0.9992307692307691,79,200,76,153,3.592049
25334,F2208090010,염색,FCM08,800,66.0,1000,75.0,84.06,0,102.6,102.6,0.0,1.0,4,575,30,520,0.3451779
4626,F2203030281,원단검사,FCM08,324,78.3,1000,25.0,48.13,0,135.0,136.2,0.0,1.0088888888888887,31,314,65,247,5.306342
7333,F2203240259,원단검사,FCM12,495,43.6,600,2.0,93.36,0,70.0,68.7,0.0,0.9814285714285714,52,252,0,0,1.600976
33724,F2209010104,원단검사,FCM11,604,207.4,4000,550.0,0.88,30,30.0,31.4,1.0466666666666666,1.0466666666666666,0,0,0,0,1.874971
11420,F2206160104,원단검사,FCM05,625,155.4,2000,34.0,71.1,0,106.9,106.4,0.0,0.9953227315247896,70,131,68,90,0.9041876
14192,F2207010015,원단검사,FCM12,460,38.4,600,32.0,87.88,0,45.7,40.6,0.0,0.888402625820569,43,332,0,0,0.3146644
10175,F2205300122,원단검사,FCM05,505,152.2,2000,3.0,51.24,0,85.0,84.3,0.0,0.9917647058823528,61,113,87,82,0.7943481
21735,F2207290029,원단검사,FCM05,350,128.0,2000,273.0,23.76,0,84.0,84.0,0.0,1.0,127,20,118,15,0.2007852
30035,F2208260119,원단검사,FCM05,450,147.4,2000,301.0,13.78,0,50.0,46.0,0.0,0.92,83,14,95,7,0.8009977
14117,F2207010015,원단검사,FCM12,460,38.4,600,32.0,67.22,0,130.0,130.6,0.0,1.0046153846153845,84,245,0,0,0.3146644
25328,F2208090010,염색,FCM08,800,66.0,1000,75.0,81.88,0,114.7,114.4,0.0,0.997384481255449,2,561,31,506,0.3451779
27167,F2208120022,원단검사,FCM05,536,184.9,2000,84.0,70.1,0,95.3,95.1,0.0,0.9979013641133264,77,158,111,97,1.057401
19696,F2207270052,원단검사,FCM05,450,124.8,2000,227.0,6.02,80,56.0,55.6,0.6950000000000001,0.9928571428571428,74,14,76,12,3.592049
2145,F2202180360,원단검사,FCM11,495,368.0,4000,47.0,31.52,0,92.5,91.3,0.0,0.987027027027027,95,26,89,25,1.304339
17519,F2207250109,염색,FCM15,146,188.4,4000,1600.0,39.25,0,96.8,97.4,0.0,1.006198347107438,138,41,0,62,0.5068955
30978,F2208290103,원단검사,FCM11,604,310.4,4000,600.0,87.74,0,70.0,69.2,0.0,0.9885714285714288,72,148,76,144,0.6295673
30141,F2208260119,원단검사,FCM05,450,147.4,2000,301.0,60.89,0,114.3,113.0,0.0,0.988626421697288,11,96,88,73,0.8009977
