,연령대,성별,지역,가입경로,마케팅동의,회원구분,총구매금액,실결제금액,매장방문수,적립금,사용적립금,탈퇴여부
532,미입력,미입력,미입력,pc,F,일반,722630.0,519680.0,2.0,8300.0,0.0,F
2336,미입력,미입력,미입력,pc,F,전화주문 고객,1002600.0,867200.0,0.0,0.0,0.0,F
3625,미입력,미입력,선택,pc,F,사업자,161260.0,137070.0,0.0,1680.0,0.0,F
2722,미입력,미입력,선택,pc,F,전화주문 고객,1237750.0,892160.0,0.0,0.0,0.0,T
1497,미입력,미입력,미입력,pc,F,일반,295350.0,246150.0,0.0,1000.0,0.0,F
804,미입력,미입력,선택,pc,F,전화주문 고객,151140.0,123060.0,0.0,0.0,0.0,F
2982,미입력,미입력,선택,pc,F,전화주문 고객,1588180.0,1349080.0,0.0,0.0,0.0,F
2483,미입력,미입력,선택,pc,F,사업자,107900.0,97900.0,0.0,1480.0,0.0,F
198,미입력,미입력,선택,pc,F,전화주문 고객,454710.0,454710.0,0.0,1000.0,0.0,F
2726,미입력,미입력,선택,pc,F,전화주문 고객,826720.0,708720.0,0.0,0.0,0.0,T
3904,미입력,미입력,선택,pc,F,사업자,467780.0,422780.0,0.0,5346.0,5000.0,F
832,미입력,미입력,선택,pc,F,사업자,271810.0,221300.0,2.0,2100.0,1700.0,F
3694,미입력,미입력,미입력,pc,F,일반,52800.0,46460.0,0.0,0.0,0.0,T
2272,미입력,미입력,선택,pc,F,사업자,164020.0,117020.0,0.0,1570.0,0.0,T
2068,미입력,미입력,선택,pc,F,사업자,422250.0,354750.0,0.0,8020.0,0.0,F
929,미입력,미입력,선택,pc,F,사업자,87120.0,74920.0,0.0,1600.0,0.0,F
1014,미입력,미입력,선택,pc,F,사업자,57850.0,54850.0,0.0,3500.0,3000.0,F
3945,미입력,남자,선택,pc,F,전화주문 고객,57850.0,57850.0,1.0,1000.0,0.0,F
2171,미입력,미입력,선택,pc,F,딜러 유치 회원,4132000.0,3379040.0,1.0,19608.0,15340.0,T
3633,미입력,미입력,선택,pc,F,사업자,395700.0,333920.0,0.0,2390.0,0.0,F
1710,미입력,미입력,선택,pc,F,전화주문 고객,174550.0,148650.0,0.0,0.0,0.0,F
1632,미입력,미입력,선택,pc,F,전화주문 고객,68530.0,56890.0,0.0,0.0,0.0,F
3053,미입력,미입력,미입력,pc,F,일반,228870.0,193870.0,0.0,2530.0,0.0,T
1713,미입력,남자,선택,pc,F,사업자,460310.0,424830.0,6.0,2800.0,0.0,T
284,미입력,미입력,선택,pc,F,사업자,63070.0,63070.0,2.0,1600.0,0.0,F
115,미입력,여자,미입력,pc,F,일반,149100.0,148100.0,1.0,1000.0,1000.0,T
2203,미입력,미입력,선택,pc,F,전화주문 고객,139270.0,124270.0,0.0,0.0,0.0,F
2382,미입력,미입력,선택,pc,F,전화주문 고객,153750.0,123750.0,0.0,0.0,0.0,F
2449,미입력,미입력,선택,pc,F,전화주문 고객,746680.0,655800.0,0.0,0.0,0.0,F
271,미입력,미입력,선택,pc,F,전화주문 고객,33030.0,33030.0,0.0,1000.0,0.0,F
2683,미입력,미입력,선택,pc,F,전화주문 고객,253790.0,213790.0,0.0,0.0,0.0,T
3282,미입력,미입력,미입력,pc,F,전화주문 고객,348320.0,296520.0,0.0,0.0,0.0,F
2718,미입력,미입력,미입력,pc,F,사업자,1571020.0,1236840.0,4.0,31820.0,30220.0,T
361,미입력,미입력,선택,pc,F,전화주문 고객,93120.0,93120.0,0.0,0.0,0.0,F
3495,미입력,미입력,선택,pc,F,전화주문 고객,4502740.0,2946300.0,0.0,0.0,0.0,T
1019,미입력,미입력,선택,pc,F,사업자,87120.0,75820.0,0.0,1300.0,0.0,T
2949,미입력,미입력,선택,pc,F,사업자,1336250.0,1015070.0,30.0,29070.0,27870.0,F
1574,미입력,미입력,선택,pc,F,전화주문 고객,890150.0,348240.0,0.0,0.0,0.0,F
3248,미입력,미입력,선택,pc,F,사업자,206000.0,169500.0,0.0,2150.0,0.0,T
3744,미입력,미입력,선택,pc,F,사업자,83300.0,0.0,0.0,0.0,0.0,F
3176,미입력,미입력,선택,pc,F,전화주문 고객,6312730.0,5061960.0,0.0,0.0,0.0,F
2479,미입력,미입력,선택,pc,F,전화주문 고객,297280.0,247280.0,0.0,0.0,0.0,F
1841,미입력,미입력,선택,pc,F,전화주문 고객,212290.0,188490.0,0.0,0.0,0.0,T
420,미입력,미입력,미입력,pc,F,일반,183620.0,0.0,0.0,1000.0,0.0,T
1400,미입력,미입력,선택,pc,F,전화주문 고객,238800.0,217000.0,0.0,0.0,0.0,F
3400,미입력,미입력,미입력,pc,F,일반,66000.0,66000.0,0.0,1330.0,0.0,F
1625,미입력,미입력,선택,pc,F,사업자,1567360.0,942060.0,4.0,20666.0,16190.0,F
815,미입력,미입력,선택,pc,F,사업자,243700.0,194000.0,8.0,1200.0,0.0,F
611,미입력,미입력,선택,pc,F,전화주문 고객,618460.0,593460.0,1.0,0.0,0.0,F
374,미입력,미입력,선택,pc,F,사업자,707670.0,660420.0,25.0,2300.0,0.0,T
1543,미입력,미입력,선택,pc,F,사업자,146520.0,124520.0,0.0,3400.0,0.0,T
3034,미입력,미입력,선택,pc,F,사업자,1496570.0,1201190.0,1.0,8050.0,5000.0,F
1792,미입력,미입력,선택,pc,F,사업자,1355130.0,1102230.0,9.0,7110.0,7110.0,F
1694,미입력,미입력,선택,pc,F,사업자,53790.0,45190.0,0.0,1200.0,0.0,F
1485,미입력,미입력,선택,pc,F,전화주문 고객,86930.0,71550.0,0.0,0.0,0.0,F
1955,미입력,미입력,선택,pc,F,전화주문 고객,375500.0,295400.0,0.0,0.0,0.0,F
3605,미입력,미입력,선택,pc,F,사업자,561520.0,519840.0,0.0,2670.0,0.0,T
2348,미입력,미입력,선택,pc,F,일반,163600.0,138600.0,1.0,1680.0,0.0,T
757,미입력,미입력,선택,pc,F,사업자,112010.0,92250.0,0.0,1200.0,0.0,T
3348,미입력,미입력,선택,pc,F,전화주문 고객,168300.0,140300.0,0.0,0.0,0.0,T
3699,미입력,미입력,선택,pc,F,일반(수신거부),7400.0,7400.0,0.0,0.0,0.0,F
972,미입력,미입력,선택,pc,F,전화주문 고객,151470.0,118170.0,0.0,1000.0,0.0,F
400,미입력,미입력,미입력,pc,F,일반,119750.0,119750.0,0.0,1500.0,0.0,F
2495,미입력,미입력,미입력,pc,F,일반,168440.0,143440.0,0.0,1000.0,0.0,F
135,미입력,미입력,미입력,pc,F,일반,331350.0,331350.0,0.0,2800.0,0.0,T
3961,미입력,남자,선택,pc,F,전화주문 고객,76100.0,67900.0,2.0,1000.0,0.0,F
3986,미입력,남자,미입력,pc,F,일반,835610.0,746260.0,26.0,7500.0,0.0,T
2864,미입력,미입력,미입력,pc,F,일반,443080.0,370180.0,4.0,2800.0,0.0,T
739,미입력,남자,선택,pc,F,사업자,218810.0,213410.0,8.0,6278.0,5400.0,T
3338,미입력,미입력,선택,pc,F,전화주문 고객,97500.0,87500.0,0.0,0.0,0.0,T
3479,미입력,미입력,선택,pc,F,전화주문 고객,102600.0,0.0,0.0,0.0,0.0,F
1958,미입력,미입력,선택,pc,F,딜러 유치 회원,182820.0,143420.0,0.0,4620.0,0.0,T
1671,미입력,미입력,선택,pc,F,전화주문 고객,147850.0,119750.0,0.0,0.0,0.0,T
779,미입력,미입력,선택,pc,F,사업자,136180.0,124540.0,8.0,1500.0,0.0,F
903,미입력,미입력,선택,pc,F,사업자,2573990.0,2441610.0,11.0,11960.0,9560.0,T
3178,미입력,미입력,선택,pc,F,전화주문 고객,85400.0,70400.0,0.0,0.0,0.0,T
3042,미입력,미입력,선택,pc,F,전화주문 고객,880600.0,768200.0,0.0,0.0,0.0,T
1378,미입력,미입력,선택,pc,F,사업자,1262800.0,1075900.0,0.0,5900.0,0.0,T
2705,미입력,미입력,선택,pc,F,전화주문 고객,1671370.0,1361170.0,0.0,0.0,0.0,T
3160,미입력,미입력,선택,pc,F,사업자,1318840.0,1013360.0,0.0,28410.0,22220.0,T
1808,미입력,미입력,선택,pc,F,전화주문 고객,16150.0,0.0,0.0,0.0,0.0,T
2142,미입력,여자,선택,pc,F,사업자,922680.0,622394.0,2.0,10190.0,6306.0,T
550,미입력,미입력,선택,pc,F,사업자,256430.0,256430.0,0.0,10450.0,0.0,F
955,미입력,남자,선택,pc,F,일반,1496960.0,1259420.0,6.0,19112.0,13300.0,T
2891,미입력,미입력,선택,pc,F,사업자,1560500.0,1369400.0,10.0,2300.0,0.0,T
1085,미입력,미입력,선택,pc,F,전화주문 고객,220550.0,0.0,0.0,0.0,0.0,T
1300,미입력,미입력,선택,pc,F,사업자,836160.0,549370.0,7.0,4200.0,0.0,T
1844,미입력,미입력,미입력,pc,F,일반,94380.0,81180.0,0.0,1000.0,0.0,F
3115,미입력,미입력,선택,pc,F,사업자,510260.0,378270.0,0.0,8700.0,5990.0,F
202,미입력,미입력,미입력,pc,F,일반,172860.0,171860.0,10.0,1700.0,1000.0,T
3896,미입력,미입력,선택,pc,F,사업자,504210.0,457030.0,0.0,540.0,0.0,F
1733,미입력,미입력,선택,pc,F,전화주문 고객,331350.0,296550.0,0.0,0.0,0.0,T
3103,미입력,미입력,미입력,pc,F,일반,57000.0,47000.0,0.0,1000.0,0.0,F
1692,미입력,미입력,미입력,pc,F,일반,300640.0,125020.0,0.0,3400.0,0.0,T
