,공연시설코드,시설특성,개관연도,주소,편의시설_레스토랑 여부,편의시설_카페 여부,편의시설_편의점 여부,편의시설_놀이방 여부,편의시설_수유실 여부,장애인시설_주차장 여부,장애인시설_화장실 여부,장애인시설_경사로 여부,장애인시설_전용엘리베이터 여부,주차시설_자체 여부,주차시설_공영 여부,공연장코드,좌석수,장애인석,무대시설_오케스트라피트 여부,무대시설_연습실 여부,무대시설_분장실 여부,무대시설_무대넓이
0,FC222224,민간(대학로 외),2000.0,서울특별시 강남구 논현로 508 (역삼동) GS강남타워,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,FC222224-01,1103,12,Y,Y,Y,25X12.5
16384,FC222224,민간(대학로 외),2000.0,서울특별시 강남구 논현로 508 (역삼동) GS강남타워,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,FC222224-01,1103,12,Y,Y,Y,25X12.5
22459,FC223076,공공(기타),2018.0,서울특별시 서대문구 연세로2나길 57 (창천동) ,N,Y,N,N,N,Y,N,N,Y,Y,N,FC223076-01,80,N,N,N,Y,330
22514,FC223315,공공(문예회관),1975.0,대구광역시 중구 태평로 141 (태평로2가) ,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,FC223315-01,1284,14,Y,Y,Y,344
23509,FC223315,공공(문예회관),1975.0,대구광역시 중구 태평로 141 (태평로2가) ,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,FC223315-02,248,4,N,Y,Y,
23848,FC223469,공공(기타),1986.0,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동) ,Y,Y,Y,N,N,N,N,N,N,Y,N,FC223469-05,1184,12,N,Y,Y,15.8X13.3X8.7
24576,FC223469,공공(기타),1986.0,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동) ,Y,Y,Y,N,N,N,N,N,N,Y,N,FC223469-05,1184,12,N,Y,Y,15.8X13.3X8.7
35168,FC223469,공공(기타),1986.0,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동) ,Y,Y,Y,N,N,N,N,N,N,Y,N,FC223469-02,5003,20,N,Y,Y,
47634,FC222759,공공(문예회관),2010.0,경상북도 안동시 축제장길 66 (안흥동) ,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,FC222759-01,994,10,Y,Y,Y,1162.57
47900,FC222759,공공(문예회관),2010.0,경상북도 안동시 축제장길 66 (안흥동) ,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,FC222759-02,276,3,N,Y,Y,108
48189,FC222702,민간(대학로 외),2009.0,서울특별시 중구 명동길 26 (명동2가) 3층,N,N,N,N,N,N,N,N,N,N,N,FC222702-01,386,3,N,Y,Y,148
48607,FC222232,민간(대학로 외),1981.0,서울특별시 광진구 천호대로 664 (능동) ,N,N,N,N,N,N,Y,N,Y,Y,N,FC222232-01,1084,10,Y,N,Y,16.77X7.9X16
49152,FC222232,민간(대학로 외),1981.0,서울특별시 광진구 천호대로 664 (능동) ,N,N,N,N,N,N,Y,N,Y,Y,N,FC222232-01,1084,10,Y,N,Y,16.77X7.9X16
55497,FC222300,민간(대학로),2003.0,서울특별시 종로구 대학로 144 (혜화동) 중원빌딩 지하1층 중원빌딩,N,N,N,N,N,N,N,N,N,N,Y,FC222300-01,0,N,N,N,N,
55623,FC222792,민간(대학로 외),2008.0,서울특별시 중구 필동로1길 30 (필동3가) 학술문화관 102-B198호,N,N,N,N,N,N,N,N,N,Y,N,FC222792-01,302,N,N,N,Y,15X12.5
58140,FC222234,민간(대학로 외),2006.0,서울특별시 송파구 올림픽로 240 (잠실동) 롯데쇼핑 ㈜ 롯데시네마 샤롯데시어터,N,Y,N,N,N,Y,Y,N,N,Y,N,FC222234-01,1230,13,N,Y,Y,
65536,FC222234,민간(대학로 외),2006.0,서울특별시 송파구 올림픽로 240 (잠실동) 롯데쇼핑 ㈜ 롯데시네마 샤롯데시어터,N,Y,N,N,N,Y,Y,N,N,Y,N,FC222234-01,1230,13,N,Y,Y,
141004,FC222054,공공(문예회관),2007.0,부산광역시 해운대구 양운로 97 (좌동) ,N,Y,N,Y,Y,Y,Y,N,N,Y,N,FC222054-01,458,5,N,Y,Y,329
141239,FC223288,민간(대학로 외),1993.0,서울특별시 종로구 창덕궁길 29-6 (원서동) 지하,N,N,N,N,N,N,N,N,N,N,Y,FC223288-01,100,N,N,N,N,60.8
141258,FC222584,민간(대학로),2007.0,서울특별시 종로구 혜화로5길 5 (명륜1가) ,N,N,N,N,N,N,N,N,N,N,Y,FC222584-01,130,N,N,N,N,
141687,FC222477,민간(대학로 외),2008.0,부산광역시 남구 수영로 298 (대연동) 지하 1층,N,N,N,N,N,N,N,N,N,Y,N,FC222477-01,0,N,N,Y,N,
141983,FC222349,공공(문예회관),2007.0,경기도 고양시 일산동구 중앙로 1286 (마두동) 고양아람누리 고양아람누리,Y,Y,N,Y,N,Y,N,Y,N,Y,N,FC222349-01,1449,26,Y,Y,Y,13.6X21.5
142531,FC222349,공공(문예회관),2007.0,경기도 고양시 일산동구 중앙로 1286 (마두동) 고양아람누리 고양아람누리,Y,Y,N,Y,N,Y,N,Y,N,Y,N,FC222349-02,304,4,Y,Y,Y,21.3X11.7
143552,FC222770,민간(대학로 외),2010.0,서울특별시 종로구 창덕궁길 29 - 38 ,N,N,N,N,N,N,N,N,N,N,N,FC222770-02,160,N,N,N,N,
143793,FC222864,공공(문예회관),1992.0,경기도 동두천시 어수로 4 (상패동) ,N,N,N,N,N,Y,N,N,N,Y,N,FC222864-01,480,4,N,N,Y,120
144271,FC222069,민간(대학로 외),2012.0,서울특별시 마포구 양화로11길 60 (서교동) 2층,N,Y,N,N,Y,Y,Y,N,Y,Y,N,FC222069-01,424,5,N,N,Y,88
150712,FC222069,민간(대학로 외),2012.0,서울특별시 마포구 양화로11길 60 (서교동) 2층,N,Y,N,N,Y,Y,Y,N,Y,Y,N,FC222069-02,299,3,N,N,N,75
152915,FC222298,공공(문예회관),2003.0,대전광역시 서구 둔산대로 135 (만년동) ,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,FC222298-01,1546,N,Y,Y,Y,18X15
153534,FC222298,공공(문예회관),2003.0,대전광역시 서구 둔산대로 135 (만년동) ,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,FC222298-02,643,N,Y,Y,Y,12X10
154826,FC222397,공공(문예회관),2011.0,부산광역시 해운대구 수영강변대로 120 (우동) ,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,FC222397-01,841,8,Y,N,N,
156325,FC222594,민간(대학로),2003.0,서울특별시 종로구 대학로 132 (동숭동) ,N,N,N,N,N,N,N,N,N,N,Y,FC222594-01,300,N,N,N,N,
156859,FC222952,국립,2008.0,부산광역시 부산진구 국악로 2 (연지동) ,N,Y,N,Y,N,Y,N,Y,N,Y,N,FC222952-02,276,3,N,Y,Y,110.4
156996,FC223588,민간(대학로 외),2001.0,대구광역시 북구 엑스코로 10 (산격동) 대구전시컨벤션센터 대구전시컨벤션센터,Y,Y,Y,N,N,Y,N,N,N,Y,N,FC223588-01,1300,12,N,Y,N,
167876,FC223333,국립,2010.0,서울특별시 용산구 청파로 373 (서계동) ,N,Y,N,N,N,N,N,N,N,Y,N,FC223333-02,100,N,N,Y,Y,10.1X3.7X13
168086,FC223333,국립,2010.0,서울특별시 용산구 청파로 373 (서계동) ,N,Y,N,N,N,N,N,N,N,Y,N,FC223333-01,182,2,N,Y,Y,13.6X5X19
168716,FC223569,민간(대학로 외),2012.0,부산광역시 해운대구 센텀중앙로 55 (우동) 경남정보대학교및동서대학교센텀산학캠퍼스 ,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,FC223569-01,1134,12,Y,Y,Y,
173420,FC222028,민간(대학로),2003.0,서울특별시 종로구 대학로10길 24 (동숭동) 지하 1층,N,N,N,N,N,N,N,N,N,N,N,FC222028-01,228,N,N,Y,Y,45.0
177710,FC222238,공공(문예회관),2005.0,경기도 성남시 분당구 성남대로 808 (야탑동) 성남아트센터,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,FC222238-03,378,5,N,N,Y,132.0
178947,FC222238,공공(문예회관),2005.0,경기도 성남시 분당구 성남대로 808 (야탑동) 성남아트센터,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,FC222238-01,1102,12,N,Y,Y,257.0
